 TIME, Mass Concentration PM1.0, Mass Concentration PM2.5, Mass Concentration PM4.0 , Mass Concentration PM10, Number Concentration PM0.5, Number Concentration PM1.0, Number Concentration PM2.5, Number Concentration PM4.0, Number Concentration PM10, Particle Size
 Wed Mar 18 21:16:06 2020,1.03047633,0.72843856,0.7284382,0.72843891,3.00720787,19.85159492,21.94814682,21.95319557,21.95581245,0.20769513
 Wed Mar 18 21:16:21 2020,1.66747284,0.8889178,0.88891721,0.8889184,4.80537844,5.36099625,4.84030008,4.84248686,4.84361935,0.17858034
 Wed Mar 18 21:16:36 2020,1.8344363,0.92803329,0.92803276,0.92803389,2.48337293,5.15994167,2.78621078,2.78719115,2.78769898,0.13250768
 Wed Mar 18 21:16:51 2020,1.80830359,0.8246873,0.82468677,0.82468778,6.8654933,2.51457429,2.98466921,2.98555684,2.98601675,0.31449306
 Wed Mar 18 21:17:06 2020,1.05649459,1.95600855,1.95600748,1.95600963,4.19776106,2.9607594,3.73008704,3.73109818,3.73162174,0.17781615
 Wed Mar 18 21:17:21 2020,0.62227088,0.5658927,0.56589216,0.56589323,3.21862769,6.77001762,7.71310616,7.71503258,7.71603107,0.31487751
 Wed Mar 18 21:17:36 2020,1.92801082,1.46804309,1.46804225,1.46804392,4.22812748,3.96055269,2.72508144,2.72584152,2.72623515,0.17844242
 Wed Mar 18 21:17:51 2020,1.03675604,0.99594665,0.99594629,0.99594706,6.03999567,3.71123719,3.44313622,3.44382405,3.44418025,0.17804515
 Wed Mar 18 21:18:06 2020,0.75281107,1.45897043,1.45896959,1.45897114,3.63420033,5.29896593,4.76203489,4.76337194,4.76406479,0.31518686
 Wed Mar 18 21:18:21 2020,1.91873825,1.71703529,1.71703422,1.71703637,5.23016024,3.2498908,2.70519662,2.70612788,2.70661044,0.22425354
 Wed Mar 18 21:18:36 2020,0.55152357,0.57198906,0.57198858,0.57198954,6.14344549,5.74124765,4.21135616,4.21306181,4.21394587,0.19905871
 Wed Mar 18 21:18:51 2020,0.61525005,1.93581533,1.9358145,1.93581617,7.17444897,7.63036156,6.15991688,6.16146278,6.16226387,0.22446728
 Wed Mar 18 21:19:06 2020,0.57460171,1.03842592,1.03842521,1.03842664,3.86731553,6.65547514,7.1803813,7.18168402,7.18235874,0.20734525
 Wed Mar 18 21:19:21 2020,1.56711435,0.94177598,0.94177562,0.94177634,4.88316488,3.05489445,2.25434351,2.2549684,2.25529218,0.2071209
 Wed Mar 18 21:19:36 2020,0.93689352,1.039114,1.03911316,1.03911495,7.67065239,6.82455397,5.73191643,5.7336092,5.73448658,0.22380006
 Wed Mar 18 21:19:51 2020,1.66033483,1.32425785,1.32425678,1.32425904,6.8142066,3.26253915,2.18786883,2.18886685,2.18938398,0.19831645
 Wed Mar 18 21:20:06 2020,0.6107257,1.29630852,1.2963078,1.29630935,2.68361092,7.65980148,7.68713188,6.12606144,6.12680197,0.19835663
 Wed Mar 18 21:20:21 2020,1.46467257,0.86758488,0.86758441,0.8675853,2.24371243,3.28275561,3.54807997,3.54888153,3.54929662,0.24470282
 Wed Mar 18 21:20:36 2020,0.81622422,0.61618131,0.6161809,0.61618173,3.78756475,5.20910978,4.26835012,4.26981401,4.27057266,0.24482584
